epoch,train_loss,val_loss,train_acc,val_acc
1,1.0574,0.6548,0.6616,0.7766
2,0.486,0.5136,0.8346,0.8322
3,0.2987,0.5593,0.8977,0.8312
4,0.1193,0.4323,0.9656,0.8717
5,0.072,0.4506,0.9807,0.8795
6,0.0526,0.4624,0.9841,0.8839
7,0.0458,0.481,0.9871,0.8771
8,0.0373,0.5016,0.9888,0.882
9,0.0369,0.5144,0.989,0.8795
10,0.0322,0.5497,0.9889,0.8771
11,0.029,0.5488,0.9899,0.8766
12,0.0258,0.557,0.9917,0.8776
13,0.0254,0.5658,0.9916,0.8795
14,0.0223,0.5752,0.9916,0.881
15,0.0238,0.59,0.992,0.882
16,0.0235,0.5907,0.9912,0.88
17,0.0218,0.5859,0.9916,0.8824
18,0.0202,0.5891,0.9912,0.88
19,0.0199,0.6031,0.9917,0.8829
20,0.018,0.613,0.9929,0.8863
21,0.0191,0.6228,0.9913,0.8776
22,0.0182,0.6274,0.992,0.8834
23,0.0186,0.603,0.9912,0.8854
24,0.0167,0.6242,0.9932,0.882
25,0.0154,0.6275,0.9926,0.8844
26,0.016,0.6363,0.9926,0.8834
27,0.0156,0.6377,0.993,0.882
28,0.0155,0.6319,0.9929,0.8863
29,0.0142,0.6306,0.9933,0.8859
30,0.0137,0.628,0.9943,0.8839
31,0.0132,0.6384,0.9937,0.8829
32,0.0135,0.6414,0.9935,0.8854
33,0.0135,0.6558,0.9939,0.8839
34,0.0141,0.6526,0.9924,0.8844
35,0.014,0.6569,0.994,0.8863
36,0.0128,0.6578,0.9943,0.8859
37,0.0126,0.6568,0.994,0.8863
